"registro_ans","razao_social","total_despesas"
"422631","ASSOCIAÇÃO PETROBRAS DE SAÚDE - APS","67646814.33"
"393533","ASSOCIAÇÃO DO FISCO DE ALAGOAS","2150359.06"
"328073","UNIMED DE VOTUPORANGA - COOPERATIVA DE TRABALHO MÉDICO","1201879.75"
"403911","VISION MED ASSISTÊNCIA MÉDICA LTDA","1115432.88"
"402966","BIO SAÚDE SERVIÇOS MÉDICOS LTDA","1033927.70"
"414689","FUNDO DE ASSISTÊNCIA À SAÚDE DOS FUNCIONÁRIOS DO BEC","715683.03"
"416428","SUL AMÉRICA SERVIÇOS DE SAÚDE S.A.","286717.70"
"407011","GAMA SAUDE LTDA.","249041.63"
"312321","ODONTO JARAGUÁ LTDA","31121.11"
"333239","SISTEMA PREVSAUDE DENTAL LTDA","29996.69"
